order_id,order_date,product_id,product_title,category,price,quantity,country,rating
ORD1000,2025-10-29T19:15:11.377078,P1773,USB-C Cable,Electronics,60.2,2,BR,1.4
ORD1001,2025-10-16T19:15:11.377078,P5618,Lamp,Home,33.56,3,GB,2.8
ORD1002,2025-09-20T19:15:11.377078,P4621,Air Fryer,Home,46.56,4,IN,2.8
ORD1003,2025-06-08T19:15:11.377078,P8723,Python 101,Books,38.38,4,IN,3.5
ORD1004,2025-11-18T19:15:11.377078,P5010,USB-C Cable,Electronics,67.38,1,JP,4.1
ORD1005,2025-06-04T19:15:11.377078,P5918,Moisturizer,Beauty,41.65,2,GB,3.7
ORD1006,2025-07-25T19:15:11.377078,P9148,Sneakers,Clothing,22.87,2,CA,2.9
ORD1007,2025-08-21T19:15:11.377078,P3971,Moisturizer,Beauty,28.72,3,GB,3.7
ORD1008,2025-10-24T19:15:11.377078,P4916,Jeans,Clothing,41.86,4,IN,2.5
ORD1009,2025-06-22T19:15:11.377078,P8493,T-Shirt,Clothing,48.43,3,GB,1.0
ORD1010,2025-10-01T19:15:11.377078,P3493,Sunscreen,Beauty,43.63,2,IN,2.8
ORD1011,2025-06-17T19:15:11.377078,P4956,Air Fryer,Home,25.5,1,BR,2.9
ORD1012,2025-09-19T19:15:11.377078,P6087,Jeans,Clothing,24.3,3,FR,3.2
ORD1013,2025-08-14T19:15:11.377078,P9843,Moisturizer,Beauty,24.03,2,GB,2.6
ORD1014,2025-06-07T19:15:11.377078,P8700,Sneakers,Clothing,8.33,4,CA,2.2
ORD1015,2025-10-16T19:15:11.377078,P9963,Data Science,Books,22.45,3,BR,2.6
ORD1016,2025-06-01T19:15:11.377078,P1955,Novel,Books,17.76,2,US,3.9
ORD1017,2025-08-26T19:15:11.377078,P9441,Moisturizer,Beauty,21.61,4,GB,3.8
ORD1018,2025-07-21T19:15:11.377078,P7152,Data Science,Books,29.03,1,BR,2.4
ORD1019,2025-11-17T19:15:11.377078,P4296,T-Shirt,Clothing,4.55,2,JP,3.8
ORD1020,2025-10-15T19:15:11.377078,P3349,Python 101,Books,56.98,2,BR,2.8
ORD1021,2025-11-06T19:15:11.377078,P2148,Moisturizer,Beauty,12.0,2,DE,1.8
ORD1022,2025-06-28T19:15:11.377078,P5168,Moisturizer,Beauty,35.75,3,IN,4.0
ORD1023,2025-09-17T19:15:11.377078,P2261,Novel,Books,35.65,2,FR,3.6
ORD1024,2025-06-04T19:15:11.377078,P2614,Vacuum,Home,34.59,4,DE,2.3
ORD1025,2025-09-10T19:15:11.377078,P8140,Vacuum,Home,60.27,1,GB,4.7
ORD1026,2025-09-11T19:15:11.377078,P3652,Jeans,Clothing,3.47,3,US,4.8
ORD1027,2025-06-11T19:15:11.377078,P3482,Data Science,Books,37.27,1,DE,3.0
ORD1028,2025-08-21T19:15:11.377078,P8267,Novel,Books,11.21,3,CA,2.3
ORD1029,2025-05-31T19:15:11.377078,P4272,Air Fryer,Home,18.76,2,IN,4.6
ORD1030,2025-06-16T19:15:11.377078,P6993,Vacuum,Home,10.29,2,BR,2.1
ORD1031,2025-10-13T19:15:11.377078,P3885,Plush,Toys,66.36,4,US,4.7
ORD1032,2025-09-04T19:15:11.377078,P5920,T-Shirt,Clothing,11.7,1,CA,4.3
ORD1033,2025-11-15T19:15:11.377078,P6712,Novel,Books,12.94,1,CA,3.1
ORD1034,2025-06-26T19:15:11.377078,P5797,T-Shirt,Clothing,17.9,1,US,2.7
ORD1035,2025-10-09T19:15:11.377078,P8609,Sneakers,Clothing,34.45,1,JP,4.6
ORD1036,2025-10-13T19:15:11.377078,P4019,Kindle,Electronics,107.12,1,BR,2.5
ORD1037,2025-07-14T19:15:11.377078,P1047,T-Shirt,Clothing,61.72,2,JP,2.0
ORD1038,2025-06-24T19:15:11.377078,P7719,Echo Dot,Electronics,115.47,4,GB,3.4
ORD1039,2025-07-22T19:15:11.377078,P9981,Sunscreen,Beauty,59.11,2,IN,4.9
ORD1040,2025-05-30T19:15:11.377078,P2568,Data Science,Books,27.73,4,GB,1.5
ORD1041,2025-08-27T19:15:11.377078,P9346,Kindle,Electronics,40.0,2,BR,3.3
ORD1042,2025-10-03T19:15:11.377078,P1759,Python 101,Books,24.32,1,BR,1.5
ORD1043,2025-08-07T19:15:11.377078,P9757,Python 101,Books,40.77,1,CA,3.0
ORD1044,2025-07-18T19:15:11.377078,P9641,Air Fryer,Home,57.75,3,JP,1.1
ORD1045,2025-06-16T19:15:11.377078,P7509,Air Fryer,Home,34.53,4,GB,2.7
ORD1046,2025-11-11T19:15:11.377078,P7644,USB-C Cable,Electronics,118.54,1,IN,2.9
ORD1047,2025-06-16T19:15:11.377078,P3591,Lamp,Home,37.31,3,IN,4.2
ORD1048,2025-09-14T19:15:11.377078,P9398,Python 101,Books,27.75,4,IN,3.4
ORD1049,2025-09-22T19:15:11.377078,P9662,Plush,Toys,13.46,1,IN,2.8
ORD1050,2025-10-09T19:15:11.377078,P8566,Vacuum,Home,5.25,4,IN,1.4
ORD1051,2025-06-23T19:15:11.377078,P2730,T-Shirt,Clothing,23.64,2,IN,2.2
ORD1052,2025-06-26T19:15:11.377078,P2402,T-Shirt,Clothing,46.55,3,CA,1.6
ORD1053,2025-06-06T19:15:11.377078,P2753,Python 101,Books,26.24,3,GB,1.2
ORD1054,2025-08-06T19:15:11.377078,P8453,Data Science,Books,51.25,4,CA,3.0
ORD1055,2025-06-04T19:15:11.377078,P5437,Sunscreen,Beauty,16.57,3,GB,1.9
ORD1056,2025-08-10T19:15:11.377078,P3540,Lego,Toys,62.47,4,US,2.5
ORD1057,2025-10-25T19:15:11.377078,P1960,Jeans,Clothing,8.75,1,US,4.7
ORD1058,2025-11-06T19:15:11.377078,P3158,Moisturizer,Beauty,49.55,4,JP,4.2
ORD1059,2025-10-15T19:15:11.377078,P7650,Lamp,Home,32.05,3,GB,3.1
